"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SERPINE1",1241.44412370966,-2.46571464658677,0.50487546281309,-4.88380764802508,1.0405658887496e-06,0.000638330665806807
"PDK4",8375.29917940729,-2.04088143996344,0.42115379470708,-4.84592912520924,1.26020502054007e-06,0.000648968520724592
"FCGR2A",637.105717104648,-2.32987040015867,0.479320746928878,-4.86077520133794,1.16926971581859e-06,0.000648968520724592
"PKIB",1487.01208375188,-1.37282739483542,0.284193764010337,-4.83060351312103,1.36119824493904e-06,0.000652262219536723
"GNB3",114.938692270913,1.13950920982484,0.236586193120938,4.81646538537584,1.46123499280908e-06,0.000657783527188435
"FCER1G",3196.69504752602,-1.43115548578429,0.297171200062347,-4.81592928750845,1.46516406193095e-06,0.000657783527188435
"IL1R2",4234.49033105632,-2.30842158161612,0.480085237758346,-4.80835776662243,1.52175242835923e-06,0.000666109081703544
"CD36",11444.9658775947,-1.71536210556655,0.362688151526847,-4.72957856038365,2.2498638347872e-06,0.00091611316007649
"DACT3",126.155691348764,1.37889178058253,0.291358131125374,4.73263531467802,2.21623463374821e-06,0.00091611316007649
"MTUS2",80.1162718091785,1.80680112651793,0.383814927903133,4.7074800774136,2.50797783151318e-06,0.000998004178453733
"COL8A1",240.53969599041,1.74311552103561,0.3757602866843,4.63890299961399,3.50263389618632e-06,0.0012988885411418
"NLRP3",156.721698485967,-1.88859151896557,0.407419554629378,-4.63549551685999,3.56083442656957e-06,0.0012988885411418
"CHGA",1526.90053806312,3.75788758111318,0.812909723940008,4.6227612617296,3.78665438252225e-06,0.00135307207313433
"EPHB1",26.8160645684971,1.27152763347756,0.275794599012007,4.61041528018541,4.01865387981503e-06,0.00140725221563363
"FAT2",97.110347356172,-2.09207750947833,0.454448441058201,-4.60355305567083,4.15343322855011e-06,0.00142593063526831
"PRUNE2",1464.49679890584,2.17021045751846,0.476555690873656,4.55394930556779,5.26480483420439e-06,0.00174286849646886
"SLC37A2",1080.20171346631,-1.46007863231509,0.320648686393159,-4.5535150907334,5.2756885209235e-06,0.00174286849646886
"SERPINF1",1088.77919944114,1.40788597799402,0.310248298252977,4.53793295860734,5.68083130346367e-06,0.00180846682349719
"ANGPTL4",1266.8738527417,-2.17363840543457,0.480384655614005,-4.52478733455033,6.04562660855272e-06,0.00189022993373481
"CEMIP",107.25304214088,-2.4382718327041,0.54325475442054,-4.48826597993582,7.18052441338032e-06,0.00212654182638439
"CLEC4E",216.668841292914,-2.15800667742834,0.486565436800753,-4.43518284327302,9.19941755625596e-06,0.00233438553612298
"BOLL",8.91258959837351,1.56683648725936,0.353863797904,4.42779537364382,9.52011527691851e-06,0.00238125283405095
"SPHK1",129.027723852258,-3.3557484155853,0.772195060624473,-4.34572634131007,1.38815547031876e-05,0.0031565213155599
